,player,team,pos,season,gp,mp,index,ftr,orb_pct,ast_vs_tov,usg_pct,pct_close_shots,pct_mid_range,pct_of_twos_assisted,pct_of_threes_corner,pct_of_threes_assisted,3par,cluster
0,Natalie Achonwa,IND,F,2018,34,883,0,0.365,10.6,0.839,17.5,0.611,0.388,0.803,0.0,0.0,0.0,0
1,Kayla Alexander,IND,C,2018,30,257,1,0.279,8.9,0.152,15.5,0.656,0.344,0.818,0.0,0.0,0.0,2
2,Lindsay Allen,LVA,G,2018,24,358,2,0.329,0.9,1.368,12.5,0.28800000000000003,0.493,0.222,0.0,1.0,0.219,3
3,Rebecca Allen,NYL,G,2018,28,291,3,0.248,5.1,0.368,19.9,0.178,0.44599999999999995,0.643,0.237,1.0,0.376,1
4,Ariel Atkins,WAS,G,2018,29,652,4,0.183,5.1,1.383,23.9,0.237,0.309,0.52,0.167,0.889,0.453,5
5,Seimone Augustus,MIN,G-F,2018,33,864,5,0.102,0.7,1.65,20.4,0.19799999999999998,0.605,0.548,0.212,0.952,0.198,4
6,Rachel Banham,CON,G,2018,33,424,6,0.286,1.6,1.486,17.1,0.158,0.23299999999999998,0.4,0.173,0.933,0.609,3
7,Alana Beard,LAS,G-F,2018,30,766,7,0.162,5.6,0.754,9.9,0.438,0.523,0.735,0.4,1.0,0.038,2
8,Hind Ben Abdelkader,IND,G,2018,14,142,8,0.186,0.8,0.541,19.1,0.093,0.232,0.5,0.172,0.833,0.674,4
9,Monique Billings,ATL,F,2018,32,353,9,0.344,11.5,0.466,14.9,0.645,0.355,0.707,0.0,0.0,0.0,2
10,Sue Bird,SEA,G,2018,31,824,10,0.117,0.7,2.2,17.5,0.10600000000000001,0.353,0.418,0.097,0.75,0.543,3
11,Kelsey Bone,LVA,C,2018,32,344,11,0.225,6.2,0.657,14.7,0.575,0.42500000000000004,0.725,0.0,0.0,0.0,2
12,DeWanna Bonner,PHO,F-G,2018,34,1120,12,0.293,5.3,1.792,23.6,0.42200000000000004,0.195,0.51,0.182,0.855,0.383,5
13,Brittany Boyd,NYL,G,2018,30,613,13,0.314,1.9,1.422,20.2,0.5740000000000001,0.266,0.283,0.111,0.5,0.16,4
14,Imani McGee-Stafford,ATL,C,2018,29,305,14,0.174,14.0,0.477,16.5,0.523,0.476,0.718,0.0,0.0,0.0,0
15,Jessica Breland,ATL,F,2018,34,899,15,0.152,7.1,0.795,17.7,0.393,0.607,0.839,0.0,0.0,0.0,1
16,Lexie Brown,CON,G,2018,22,124,16,0.159,0.9,0.743,19.9,0.182,0.159,0.0,0.138,0.889,0.659,4
17,Rebekkah Brunson,MIN,F,2018,25,691,17,0.31,6.4,0.76,14.2,0.392,0.30400000000000005,0.739,0.042,1.0,0.304,2
18,Liz Cambage,DAL,C,2018,32,945,18,0.485,9.3,1.231,30.1,0.756,0.16499999999999998,0.628,0.0,1.0,0.078,6
19,Jordin Canada,SEA,G,2018,33,543,19,0.357,2.0,1.395,22.2,0.379,0.319,0.236,0.073,0.5,0.302,4
