PLAYER,TEAM,AGE,FGM_ra,FGA_ra,FGpct_ra,FGM_paint,FGA_paint,FGpct_paint,FGM_mr,FGA_mr,FGpct_mr,FGM_left,FGA_left,FGpct_left,FGM_right,FGA_right,FGpct_right,FGM_break,FGA_break,FGpct_break,oFGM_ra,oFGA_ra,oFGpct_ra,oFGM_paint,oFGA_paint,oFGpct_paint,oFGM_mr,oFGA_mr,oFGpct_mr,oFGM_left,oFGA_left,oFGpct_left,oFGM_right,oFGA_right,oFGpct_right,oFGM_break,oFGA_break,oFGpct_break,GP,W,L,MIN,USGpct,pct_tm_FGM,pct_tm_FGA,pct_tm_3PM,pct_tm_3PA,pct_tm_FTM,pct_tm_FTA,pct_tm_OREB,pct_tm_DREB,pct_tm_REB,pct_tm_AST,pct_tm_TOV,pct_tm_STL,pct_tm_BLK,pct_tm_BLKA,pct_tm_PF,pct_tm_PFD,pct_tm_PTS,OFFRTG_gm,DEFRTG,NETRTG,ASTpct_gm,AST_TO,AST_RATIO,OREBpct_gm,DREBpct_gm,REBpct_gm,TO_RATIO,EFGpct_gm,TSpct_gm,PACE,PACE_40,PIE_gm,MPG,PTS_100,FGM_100,FGA_100,FGpct_100,3PM_100,3PA_100,3Ppct_100,FTM_100,FTA_100,FTpct_100,OREB_100,DREB_100,REB_100,AST_100,TOV_100,STL_100,BLK_100,PF_100,FP_100,DD2,TD3,plus_minus_100,MPP,pct_FGA_2pt,pct_FGA_3pt,pct_PTS_2pt,pct_PTS_2ptMR,pct_PTS_3pt,pct_PTS_fbps,pct_PTS_ft,pct_PTS_off_to,pct_PTS_paint,2FGM_ast,2FGM_uast,3FGM_ast,3FGM_uast,FGM_ast,FGM_uast
A'JA WILSON,LVA,24,2.9,3.9,75.3,2.7,6.3,42.4,2,5.5,35.2,0,0,0,0,0,0,0,0,0,8.2,12,68.2,5.1,12.9,39.9,5.1,14.3,36,0.5,1.8,26.5,0.4,1.3,32,5.1,15,34.2,22,18,4,697,27.5,28.7,28.7,0,0,33.4,35.2,23.6,30.1,28.7,12.1,16.7,18.8,71,25,19.7,30.2,28.5,108.8,96.3,12.5,10.9,1.29,9.1,5.2,20.8,13.5,7.1,48,54.6,99.94,83.29,16.4,31.7,31.1,11.5,23.9,48,0,0,0,8.1,10.4,78.1,2.3,10.6,13,3.1,2.4,1.9,3,3.4,63.6,7,0,12.3,48.1,100,0,73.8,19.1,0,4.2,26.2,18,54.7,75.9,24.1,0,0,75.9,24.1
AERIAL POWERS,WAS,27,0.8,0.8,100,1.5,2.7,56.3,1.5,3.7,40.9,0,0.3,0,0,0.2,0,1.5,3.8,39.1,6.2,8.3,74,4.7,11.7,40,4,11.3,35.3,0.2,1.2,14.3,0.5,1.3,37.5,5.2,13.7,37.8,6,3,3,179,22.3,22.1,22,23.7,25.2,36.8,34.9,7.7,21.8,19.3,18.5,19.6,22.5,0,25,19.3,25,24.7,106.5,95.4,11,13.3,1.36,14,1.1,15.6,8.2,10.3,52.9,59.6,99.54,82.95,14,29.8,26.3,8.6,18.5,46.4,2.4,7,34.6,6.7,8.1,83.3,0.5,7.3,7.8,4,3,2.4,0,4.3,46,0,0,11.6,48.1,62.3,37.7,46.9,18.4,27.6,2,25.5,22.4,28.6,21.7,78.3,77.8,22.2,37.5,62.5
ALAINA COATES,WAS,25,0.8,1,75,0.1,0.6,18.2,0.1,0.2,33.3,0,0,0,0,0,0,0,0,0,2.4,3.7,64.9,1.8,3.6,49.3,0.9,3.4,26.9,0.3,0.6,40,0.2,0.8,20,1.5,3.9,38.5,20,8,12,197,12.7,14.9,10.6,0,0,22.2,32.1,43.5,30.2,34,11.5,14.3,16.3,30.8,33.3,34.4,29.4,14.5,86.9,92.7,-5.8,8.7,0.75,13.4,9.6,19.7,14.2,17.9,52.9,55,96.62,80.52,8.2,9.9,12.6,4.5,8.6,52.9,0,0,0,3.5,6.5,53.8,5,8.8,13.9,2.3,3,1.8,1,8.3,37.9,0,0,-5.8,49.7,100,0,72,4,0,0,28,28,68,66.7,33.3,0,0,66.7,33.3
ALANNA SMITH,PHO,24,1.1,1.5,69,0.4,1.1,40,0.3,0.5,50,0.1,0.1,100,0,0,0,0.5,2.2,21.4,4.4,5.9,73.5,2.2,7.6,28.5,2.3,6.2,37.3,0.2,0.9,18.2,0,0.5,0,2.1,6.5,32.3,19,12,7,296,19.2,18.1,20.5,14.3,22.4,18.7,22,36.2,23.9,26.6,15.3,15.1,9.4,34.1,33.3,32.4,23,17.8,105.5,93.5,12,11.8,1.28,14.7,7.7,15,11.6,11.5,47.1,50.5,100.33,83.61,8.1,15.6,18.7,6.9,16.5,42.2,1.6,6.9,23.3,3.2,4.7,69,3.4,7.8,11.1,3.7,2.9,0.8,2.4,7.6,44.5,0,0,12.1,47.8,57.8,42.2,56.9,8.6,25.9,3.4,17.2,12.9,48.3,72.7,27.3,100,0,79.1,20.9
ALEXIS JONES,ATL,26,0,0,0,0,0,0,0.2,0.4,50,0,0,0,0,0,0,1.2,3.2,36.8,2.3,3.8,60.9,0.8,3.3,25,1,2.8,35.7,0,0,0,0,0.5,0,2.5,3.8,65.2,6,1,5,53,22.4,22.2,24.1,53.8,44.2,5.6,7.7,0,0,0,25,24,25,0,25,11.5,16.7,23.3,92.8,101.8,-9,17.9,0.83,15.2,0,0,0,18.2,54.8,54.8,99.92,83.27,5.7,8.8,21.6,7.2,18.9,38.1,6.3,17.1,36.8,0.9,1.8,50,0,0,0,4.5,5.4,2.7,0,2.7,31.1,0,0,-8.1,47.8,9.5,90.5,8.3,8.3,87.5,0,4.2,25,0,0,100,57.1,42.9,50,50
ALEXIS PRINCE,CHI,26,0,0,0,0.5,0.5,100,0,0.5,0,0,0,0,0,0,0,1,1.5,66.7,1,4.5,22.2,0,2,0,1.5,4.5,33.3,0,0,0,0,0,0,2,4,50,2,1,1,16,13.2,30,17.2,100,33.3,0,0,50,6.7,15.8,0,0,0,33.3,0,14.3,25,36.4,66.7,100,-33.3,0,0,0,10.5,4.8,7.5,0,80,80,97.6,81.33,17.4,8,24.2,9.1,15.2,60,6.1,9.1,66.7,0,0,0,6.1,3,9.1,0,0,0,3,3,44.2,0,0,-30.3,48.4,40,60,25,0,75,37.5,0,0,25,0,100,100,0,66.7,33.3
ALISIA JENKINS,PHO,26,0,0.3,0,0.2,0.4,50,0.3,0.7,50,0,0,0,0,0,0,0,0.6,0,2.5,3.5,71.4,1.2,2.4,50,0.3,2,16.7,0.3,0.3,100,0,1,0,0.6,2,30,5,1,4,27,20.3,16.7,18.2,0,16.7,21.1,28.6,0,22.2,15.4,0,33.3,0,0,100,25,20,17.4,78,94.7,-16.8,0,0,0,0,16,7,21.4,25,37.6,101.27,84.39,-2.9,5.5,13.6,3.4,13.6,25,0,5.1,0,6.8,10.2,66.7,0,6.8,6.8,0,5.1,0,0,5.1,16.6,0,0,-13.6,46.6,62.5,37.5,50,25,0,0,50,37.5,25,100,0,0,0,100,0
ALLIE QUIGLEY,CHI,34,0.5,0.6,78.6,1,2,46.7,2.3,4.4,53.1,0.2,0.3,50,0.1,0.1,100,1.9,5.7,33.6,8.5,13.5,63.1,5.2,13.3,38.9,4.7,11.3,41.9,0.6,1.1,50,0.3,0.8,38.5,4,10.5,37.7,22,12,10,631,22.6,24.2,26.5,36.2,37.5,18.6,16.7,5.1,13.7,11.8,14.9,11.3,13.5,9.1,11.7,11.4,17.5,24.6,106.1,103.9,2.2,12.6,1.82,13.4,1,9.2,5.3,7.3,52.8,55.5,98.38,81.98,10.3,28.7,26.1,9.9,22.2,44.8,3.5,10.3,34.6,2.6,2.9,91.9,0.5,4.4,4.9,3.9,2.2,1.1,0.5,2.4,40.3,0,0,2.9,48.6,53.8,46.2,49.1,30.2,40.8,7.1,10.1,14.2,18.9,54.2,45.8,78.3,21.7,62.8,37.2
ALLISHA GRAY,DAL,26,1.6,2,82.1,1.3,3,44.1,0.4,1.4,29.6,0.1,0.1,50,0.1,0.1,50,1.2,3.4,34.3,6.8,9.8,68.9,6.2,13.8,45.1,3.5,8.5,41.2,0.7,1.3,52.4,0.3,0.9,35.7,3,8.1,37,20,7,13,524,20,22.8,21.4,19.2,19.8,24.7,24.3,23.3,18.8,20,12.2,13.8,21.8,16.2,22.9,14.9,20.8,22.7,108.8,106.9,1.9,8.4,1.18,9.7,5.1,12.1,8.4,8.2,52.8,58.1,96.95,80.79,11.2,26.2,24.7,8.6,18.6,46.4,2.4,6.7,35.2,5.1,6.2,83.1,2.6,5.4,8,2.5,2.1,2.1,0.6,3.6,43.8,0,0,1.3,49.7,63.8,36.2,50.6,6.1,28.7,13.8,20.7,18,44.4,37.9,62.1,84,16,50.5,49.5
ALYSHA CLARK,SEA,33,1.2,1.5,76.5,0.7,1.5,46.9,0.3,0.6,42.9,0.2,0.3,71.4,0,0,0,1.4,2.7,50,6.9,10.5,66.1,4.2,11.9,35.2,4.1,11.7,35,0.3,1.3,20.7,0.6,1.5,37.5,4,12.6,31.7,22,18,4,633,12.1,15.6,13.5,24.5,19.8,7.9,8.1,15,17.2,16.7,16.2,9,19.8,15.1,4.9,15.1,12.5,15.1,111.6,90.9,20.7,13.3,3.11,25.1,3.2,11.2,7.5,8.1,67.7,69.3,98.77,82.31,12.1,28.8,16.9,6.3,11.3,55.8,2.7,5.2,52.2,1.5,1.9,80,1.5,5.7,7.2,4.5,1.5,2.5,0.8,2.9,41,0,0,20.1,48.8,54.4,45.6,42.9,5.5,47.9,10,9.1,23.7,37.4,80.9,19.1,94.3,5.7,86.6,13.4
