"Player","Team","Position","G","MP","PER","TSpct","3PAr","FTr","OREBpct","REBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WS_40","Season"
"Asia Taylor","CON","G",4,17,33.4,0.743,0,1.4,13.2,14.1,29.7,0,0,11,23.1,0.2,0,0.2,0.437,2016
"Nneka Ogwumike","LAS","F",33,1043,31.3,0.737,0.071,0.458,9.9,18.1,17.9,2.1,3,13.7,23,7,2.7,9.6,0.37,2016
"Maya Moore","MIN","F",34,1009,25.3,0.574,0.323,0.335,5.4,10.6,24.6,2.7,2,12.1,28.6,4.2,2.4,6.6,0.262,2016
"Sylvia Fowles","MIN","C",34,969,23.6,0.634,0,0.497,11,18.3,7.2,2.4,5.1,14.5,20,3.3,3,6.3,0.259,2016
"Elena Delle Donne","CHI","F-G",28,927,26.1,0.598,0.229,0.315,6.1,12.5,9.7,0.9,3.8,6.5,25.4,4.8,0.6,5.4,0.234,2016
"Jonquel Jones","CON","F",34,479,24,0.609,0.206,0.431,14.3,15.8,7.8,2.3,6.4,11.6,19.4,1.9,0.9,2.8,0.232,2016
"Anna Cruz","MIN","G",6,60,15.5,0.623,0.091,0.545,2.1,6.1,28.2,1.7,0,12.8,11.6,0.2,0.1,0.3,0.23,2016
"Chiney Ogwumike","CON","F-C",33,801,22.8,0.63,0,0.517,12.3,16.6,4.8,2.1,3.3,12.7,20.4,3.1,1.2,4.4,0.218,2016
"Penny Taylor","PHO","F",25,643,22.2,0.645,0.483,0.359,1.9,8.9,24.5,3,1.3,14.8,20.2,2.5,0.9,3.4,0.212,2016
"Natasha Howard","MIN","F",34,495,18.8,0.605,0.031,0.383,10.5,14.9,9.3,2.4,4.4,16.4,20.3,1.2,1.4,2.5,0.206,2016
"LaToya Sanders","WAS","F-C",4,69,20.8,0.611,0,0.722,7,10.5,2.6,2.3,11.4,11.2,17.8,0.2,0.1,0.4,0.205,2016
"Rebekkah Brunson","MIN","F",33,812,16.1,0.545,0.005,0.363,11.4,18,10.5,1.9,0.9,11.1,13.8,2.1,2,4.1,0.201,2016
"Emma Meesseman","WAS","F",34,996,22.9,0.6,0.17,0.216,8.2,11.5,16.2,2.2,2,9.3,22,3.8,1.2,4.9,0.199,2016
"Breanna Stewart","SEA","F",34,1179,22.9,0.576,0.292,0.422,4.4,16.7,17.8,1.9,4.1,13.1,24.6,3.2,2.5,5.7,0.193,2016
"Shoni Schimmel","NYL","G",17,77,19.5,0.788,0.8,0.25,0,5.9,22,2,1,24,16.6,0.3,0.1,0.4,0.192,2016
"Tamika Catchings","IND","F",34,844,21.7,0.554,0.297,0.365,6,12.5,14.2,3.8,1,9.7,23.3,2.5,1.5,4,0.191,2016
"Adut Bulgak","NYL","C",7,23,20.7,0.549,0.182,0.364,14.9,22.1,0,0,0,7.3,26.2,0.1,0,0.1,0.187,2016
"Kiah Stokes","NYL","C",27,650,16.7,0.654,0,0.504,11.1,17.5,5,1.4,4.7,17.3,11.7,1.4,1.5,2.9,0.178,2016
"Tina Charles","NYL","C",32,1077,23.8,0.499,0.079,0.248,7.9,16.6,23.4,1.3,1.9,8.4,30.7,2.7,2.1,4.7,0.176,2016
"Erlana Larkins","IND","F",33,880,17.9,0.695,0,0.416,10.9,17.9,12.8,1.8,1.4,21.6,12.9,2.6,1.2,3.9,0.175,2016
"Lindsay Whalen","MIN","G",32,786,16.6,0.578,0.046,0.308,2.4,6.4,24.6,1.2,0,14.4,18,2.2,1.2,3.4,0.174,2016
"Brittney Griner","PHO","C",34,992,20.9,0.621,0,0.511,5.9,13.6,6.5,0.7,8.2,15,21.5,2.7,1.6,4.3,0.173,2016
"Kristi Toliver","LAS","G",33,1060,16,0.593,0.574,0.243,1.5,5.1,18,1.4,0.2,10.9,18.3,3,1.3,4.3,0.163,2016
"Candace Parker","LAS","F-C",34,1046,20.6,0.53,0.256,0.326,4.2,15.1,26.8,2.4,2.6,16.6,26.5,1.3,2.7,4,0.154,2016
"Tiffany Hayes","ATL","G",33,1016,17.2,0.571,0.337,0.559,3.7,6.3,13.8,2,0.6,12,21,3,0.9,3.9,0.152,2016
"DeWanna Bonner","PHO","F-G",34,1064,18.8,0.563,0.419,0.463,4.9,10.4,13.5,2.1,1.5,11.4,21.1,2.7,1.2,4,0.149,2016
"Crystal Langhorne","SEA","F-C",33,843,16.6,0.667,0.005,0.395,6.7,13.4,9.8,1.4,0.9,18.1,15.9,2,1,3.1,0.147,2016
"Lynetta Kizer","IND","F",33,569,19.8,0.585,0.004,0.2,7.8,12,7.3,2.3,1.5,11.4,24.5,1.3,0.7,2.1,0.145,2016
"Imani McGee-Stafford","CHI","C",31,587,17.3,0.578,0,0.318,10.9,17.6,4.5,1.6,5.9,13.5,15.4,1.3,0.8,2.1,0.142,2016
"Maggie Lucas","IND","G",4,55,17.7,0.644,0.476,0.333,2.3,9.4,10.4,1.9,0,17.2,24,0.1,0.1,0.2,0.142,2016
"Ann Wauters","LAS","C",21,97,14.2,0.588,0,0.364,5.5,15,14.3,2.2,1.7,21.5,15.7,0.1,0.2,0.3,0.142,2016
"Erika de Souza","CHI","F-C",31,516,17.7,0.549,0,0.242,14,18.4,5.8,1.7,3.5,11.8,15.9,1.2,0.6,1.8,0.141,2016
"Angel McCoughtry","ATL","F-G",33,989,21.7,0.527,0.167,0.422,4.3,10.8,19.3,2.7,1.7,13.6,30.9,1.8,1.6,3.4,0.137,2016
"Rebecca Allen","NYL","G",21,280,14.7,0.574,0.306,0.153,4.9,7.1,6.9,1.6,3.2,11.1,18.4,0.5,0.4,0.9,0.134,2016
"Candice Dupree","PHO","F",32,930,16.5,0.577,0.004,0.256,5.2,11.2,11.7,1.4,0.4,9.8,17,2.3,0.8,3.1,0.134,2016
"Sugar Rodgers","NYL","G",33,1008,15.3,0.56,0.54,0.247,1.6,6.8,13.6,1.8,1.2,12.1,21.1,1.9,1.4,3.4,0.134,2016
"Janel McCarville","MIN","F-C",33,417,13.1,0.483,0.105,0.19,6.7,12.3,18.7,2.6,2.2,16.8,14.6,0.3,1,1.4,0.133,2016
"Epiphanny Prince","NYL","G",6,83,11.8,0.552,0.44,0.28,1.4,6.1,7.9,1.2,0,6.6,15.9,0.2,0.1,0.3,0.133,2016
"Natalie Achonwa","IND","F",24,195,17,0.575,0,0.303,10.4,15.6,5.7,2.7,0.4,13.8,20.2,0.4,0.3,0.6,0.13,2016
"Courtney Vandersloot","CHI","G",30,728,18,0.544,0.323,0.319,2.1,6.5,28,2.9,0.5,15.3,18.5,1.9,0.5,2.4,0.13,2016
"Jantel Lavender","LAS","F",34,659,18.2,0.552,0.004,0.147,7.5,11.9,12.2,0.8,2.1,11.9,24,1,1.1,2.1,0.126,2016
"Kayla Alexander","SAS","C",25,489,17,0.596,0,0.433,11.2,13.8,5.3,1.2,2.1,14.3,18.5,1.1,0.5,1.5,0.124,2016
"Courtney Paris","DAL","C",34,827,16.4,0.555,0.005,0.207,12.3,19,8.5,0.9,2.6,10.2,13.8,2,0.6,2.6,0.124,2016
"Stefanie Dolson","WAS","C",34,765,16.2,0.559,0.121,0.336,7.6,12.5,9.3,0.9,3.3,12.1,19.4,1.6,0.8,2.3,0.122,2016
"Diana Taurasi","PHO","G",33,984,18.4,0.563,0.558,0.338,0.8,6.1,24,1.6,0.3,14.1,28.2,2.3,0.7,3,0.122,2016
"Carolyn Swords","NYL","C",34,596,13.2,0.593,0,0.263,10.6,14.9,6.4,0.6,2.8,18.2,13.3,0.9,0.9,1.8,0.121,2016
