"player","team","pos","gp","mp","gs","tot_fg","tot_fga","fg_pct","tot_3p","tot_3pa","3p_pct","tot_2p","tot_2pa","2p_pct","tot_ft","tot_fta","ft_pct","tot_orb","tot_trb","tot_ast","tot_stl","tot_blk","tot_tov","tot_pf","tot_pts","season","pg_fg","pg_fga","pg_fg_pct","pg_3p","pg_3pa","pg_3p_pct","pg_2p","pg_2pa","pg_2p_pct","pg_ft","pg_fta","pg_ft_pct","pg_orb","pg_trb","pg_ast","pg_stl","pg_blk","pg_tov","pg_pf","pg_pts","per","ts_pct","efg_pct","3par","ftr","orb_pct","trb_pct","ast_pct","stl_pct","blk_pct","tov_pct","usg_pct","ortg","drtg","ows","dws","ws","ws_40","fg_percent","avg_shot_dist","pct_shots_from_2","pct_shots_0_3","pct_shots_3-10","pct_shots_10_16","pct_shots_16_3p","pct_shots_from_3","fg_pct_from_2","fg_pct_0_3","fg_pct_3-10","fg_pct_10_16","fg_pct_16_3p","fg_pct_from_3","pct_of_twos_assisted","pct_of_threes_assisted","pct_of_threes_corner","fg_pct_corner_threes","plus_minus_on_court","plus_minus_net","bad_pass_turnovers","lost_ball_turnovers","shooting_fouls_committed","offensive_fouls_committed","shooting_fouls_drawn","offensive_fouls_drawn","points_generated_by_assists","and_1s_drawn","blocked_fgas"
"Anita Maxwell","CLE","F",9,63,0,8,25,0.32,0,0,NA,8,25,0.32,3,8,0.375,2,12,8,4,0,6,5,19,1997,0.9,2.8,0.32,0,0,NA,0.9,2.8,0.32,0.3,0.9,0.375,0.2,1.3,0.9,0.4,0,0.7,0.6,2.1,10.6,0.333,0.32,0,0.32,4.3,12.3,24.8,3.5,0,17.4,25.6,72,89,-0.2,0.1,-0.1,-0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tammi Reiss","UTA","G",28,831,26,72,231,0.312,30,101,0.297,42,130,0.323,42,55,0.764,29,77,87,23,2,61,57,216,1997,2.6,8.3,0.312,1.1,3.6,0.297,1.5,4.6,0.323,1.5,2,0.764,1,2.8,3.1,0.8,0.1,2.2,2,7.7,9.6,0.423,0.377,0.437,0.238,3.9,5.3,20.8,1.5,0.2,19.3,17,87,105,0.2,-0.7,-0.5,-0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catarina Pollini","HOU","F",13,94,0,8,22,0.364,0,0,NA,8,22,0.364,6,12,0.5,3,12,5,4,1,8,21,22,1997,0.6,1.7,0.364,0,0,NA,0.6,1.7,0.364,0.5,0.9,0.5,0.2,0.9,0.4,0.3,0.1,0.6,1.6,1.7,4.6,0.403,0.364,0,0.545,4.1,8.4,10,2.4,0.9,22.7,17.6,77,92,-0.1,0.1,0,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bridget Pettis","PHO","G",28,842,28,107,320,0.334,41,134,0.306,66,186,0.355,97,108,0.898,36,107,78,49,11,82,57,352,1997,3.8,11.4,0.334,1.5,4.8,0.306,2.4,6.6,0.355,3.5,3.9,0.898,1.3,3.8,2.8,1.8,0.4,2.9,2,12.6,17,0.479,0.398,0.419,0.338,5,7.8,20.4,3.1,1.1,18.2,24,94,88,1.5,1.7,3.2,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kim Perrot","HOU","G",28,692,24,59,162,0.364,28,99,0.283,31,63,0.492,15,37,0.405,18,75,88,69,2,65,53,161,1997,2.1,5.8,0.364,1,3.5,0.283,1.1,2.3,0.492,0.5,1.3,0.405,0.6,2.7,3.1,2.5,0.1,2.3,1.9,5.8,14.1,0.452,0.451,0.611,0.228,3.4,7.2,23.8,5.6,0.2,26.7,16.5,87,87,0.2,1.5,1.7,0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jasmina Perazic-Gipe","NYL","G-F",9,47,0,5,13,0.385,0,3,0,5,10,0.5,0,0,NA,2,11,4,3,0,7,1,10,1997,0.6,1.4,0.385,0,0.3,0,0.6,1.1,0.5,0,0,NA,0.2,1.2,0.4,0.3,0,0.8,0.1,1.1,8.2,0.385,0.385,0.231,0,5.2,14.4,16.5,3.4,0,35,19.2,62,83,-0.2,0.1,-0.1,-0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wendy Palmer","UTA","F",28,936,28,157,420,0.374,12,48,0.25,145,372,0.39,117,173,0.676,76,225,48,47,6,71,86,443,1997,5.6,15,0.374,0.4,1.7,0.25,5.2,13.3,0.39,4.2,6.2,0.676,2.7,8,1.7,1.7,0.2,2.5,3.1,15.8,18.7,0.446,0.388,0.114,0.412,9,13.9,12.2,2.7,0.5,12.5,27,93,97,1.6,0.4,2,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tina Nicholson","CLE","G",24,273,14,18,44,0.409,9,24,0.375,9,20,0.45,3,5,0.6,2,10,42,11,1,28,28,48,1997,0.8,1.8,0.409,0.4,1,0.375,0.4,0.8,0.45,0.1,0.2,0.6,0.1,0.4,1.8,0.5,0,1.2,1.2,2,7.8,0.519,0.511,0.545,0.114,1,2.4,26.9,2.2,0.3,37.7,12.7,84,97,0,0.1,0.1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eva Nemcova","CLE","F",28,944,28,138,292,0.473,37,85,0.435,101,207,0.488,71,83,0.855,23,110,67,39,8,78,53,384,1997,4.9,10.4,0.473,1.3,3,0.435,3.6,7.4,0.488,2.5,3,0.855,0.8,3.9,2.4,1.4,0.3,2.8,1.9,13.7,18.6,0.584,0.536,0.291,0.284,3.3,7.5,14.4,2.3,0.7,19.2,20.1,104,94,2.9,0.9,3.8,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Judy Mosley-McAfee","SAC","F",13,265,9,22,50,0.44,0,0,NA,22,50,0.44,11,11,1,24,47,10,8,2,24,30,55,1997,1.7,3.8,0.44,0,0,NA,1.7,3.8,0.44,0.8,0.8,1,1.8,3.6,0.8,0.6,0.2,1.8,2.3,4.2,8.4,0.501,0.44,0,0.22,11,11.2,7,1.6,0.6,30.4,13.3,86,103,0,-0.1,-0.1,-0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
